title,predicted,expected
Still Time,Teen,Teen
Surf World Series,Everyone,Everyone
The Metronomicon: Slay the Dance Floor,Everyone 10+,Teen
Windjammers,Everyone,Everyone
Rock of Ages 2: Bigger and Boulder,Everyone 10+,Everyone 10+
South Park: The Fractured but Whole ,Mature,Mature
Dishonored: Death of the Outsider,Mature,Mature
Battle of the Bulge,Everyone 10+,Everyone 10+
F1 2017,Everyone,Everyone
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 2,Teen,Teen
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 3 Full Burst,Teen,Teen
NARUTO™: Ultimate Ninja® STORM,Teen,Teen
NeverEnd,Everyone 10+,Everyone 10+
One Piece: Unlimited World Red Deluxe Edition,Everyone 10+,Teen
Outcast - Second Contact,Teen,Teen
Path of Exile,Mature,Mature
South Park: The Stick of Truth,Mature,Mature
Realms of Arkania - Blade of Destiny,Teen,Teen
ACA NEOGEO PUZZLED,Everyone,Everyone
Axiom Verge,Everyone 10+,Everyone 10+
Blacksea Odyssey ,Teen,Teen
ChromaGun,Everyone 10+,Everyone 10+
Mages of Mystralia,Everyone 10+,Everyone 10+
Bleed,Teen,Teen
Duck Game,Everyone 10+,Everyone 10+
Knack 2,Everyone 10+,Everyone 10+
Madden NFL 18 G.O.A.T. Edition,Everyone 10+,Everyone
Marvel's Guardians of the Galaxy: The Telltale Series – More than a Feeling,Teen,Teen
Middle-Earth: Shadow of War,Mature,Mature
Raiden V: Director's Cut,Teen,Everyone 10+
Soul Dimension,Teen,Teen
Super Comboman: Smash Edition,Everyone 10+,Everyone 10+
SwapQuest,Everyone 10+,Everyone 10+
The Book of Regrets,Teen,Teen
The Escapists 2,Everyone 10+,Teen
Uncharted: The Lost Legacy,Teen,Teen
RAID: WORLD WAR II,Mature,Mature
Minecraft: Story Mode - Season Two - Season Pass,Everyone 10+,Everyone 10+
Gran Turismo Sport,Everyone,Everyone
BLUE REFLECTION™,Everyone 10+,Teen
ACA NEOGEO MAGICIAN LORD,Teen,Teen
Limbo,Everyone,Teen
Madden NFL 18,Everyone 10+,Everyone
>Observer_,Mature,Mature
3D MiniGolf,Everyone,Everyone
Dark Mystery,Everyone,Everyone
Defenders of Ekron,Teen,Teen
Eliosi's Hunt,Everyone 10+,Everyone 10+
Matterfall,Everyone 10+,Everyone 10+
Minecraft: Story Mode - Season Two - Episode 2: Giant Consequences,Everyone 10+,Everyone 10+
Nidhogg 2,Teen,Teen
Night Trap - 25th Anniversary Edition,Teen,Teen
Paranormal Activity: The Lost Soul,Mature,Mature
Undertale,Everyone 10+,Everyone 10+
Dragon's Dogma: Dark Arisen,Mature,Mature
The Girl and the Robot,Everyone 10+,Everyone 10+
GUNDAM VERSUS,Everyone 10+,Teen
ACA NEOGEO THE KING OF FIGHTERS '96,Teen,Teen
Battlefield 1 Revolution,Teen,Mature
.hack//G.U. Last Recode,Everyone 10+,Teen
Pro Evolution Soccer 2018 ,Everyone,Everyone
Batman: The Enemy Within - Season Pass,Teen,Mature
Comet Crash 2: The Kronkoid Wars,Everyone 10+,Everyone 10+
Graceful Explosion Machine,Everyone,Everyone
Hellblade: Senua's Sacrifice,Mature,Mature
ICEY,Everyone 10+,Everyone 10+
Masquerada: Songs and Shadows,Teen,Teen
Neon Drive,Everyone,Everyone
Neptune Flux,Everyone,Everyone
Project CARS 2,Everyone,Everyone
Transport Giant,Everyone,Everyone
Cat Quest,Everyone 10+,Everyone 10+
Battle Chasers: Nightwar,Everyone 10+,Teen
ACA NEOGEO AERO FIGHTERS 2,Everyone 10+,Everyone 10+
Dino Frontier,Teen,Teen
Drawfighters,Everyone 10+,Everyone 10+
Dreadnought,Teen,Teen
Frisky Business ,Mature,Mature
It's Spring Again,Everyone,Everyone
Patapon Remastered,Everyone,Everyone
Shantae: Half-Genie Hero,Everyone 10+,Teen
The Long Dark,Teen,Teen
Destiny 2,Teen,Teen
Sundered,Everyone 10+,Everyone 10+
Leaving Lyndow,Everyone,Everyone
Ken Follett's The Pillars of the Earth,Teen,Mature
LawBreakers,Mature,Mature
Theseus,Teen,Teen
Vostok Inc.,Everyone 10+,Everyone 10+
A HEALER ONLY LIVES TWICE,Everyone 10+,Everyone 10+
Apollo 11 VR,Everyone,Everyone
Circuit Breakers,Everyone 10+,Everyone 10+
Digital Domain's Monkey King,Teen,Teen
Fortnite,Teen,Teen
Heroes of the Seven Seas,Teen,Teen
Infinite Minigolf,Everyone,Everyone
Pressure Overdrive,Everyone 10+,Everyone 10+
Pyre,Everyone 10+,Everyone 10+
Smashbox Arena,Everyone 10+,Everyone 10+
Super Cloudbuilt,Teen,Teen
Tiny Trax,Everyone,Everyone
Unbox - Newbie's Adventure,Everyone,Everyone
Marvel vs. Capcom: Infinite,Teen,Teen
INSIDE,Teen,Mature
Pillars of Eternity,Teen,Mature
Conga Master,Everyone,Everyone
Chaos;Child,Mature,Mature
THE IDOLM@STER CINDERELLA GIRLS VIEWING REVOLUTION,Teen,Teen
Orcs Must Die! Unchained,Teen,Teen
RobotRiot: Hyper Edition,Teen,Teen
Archangel,Teen,Teen
99Vidas - The Game,Everyone 10+,Teen
Fallen Legion: Sins of an Empire,Everyone 10+,Everyone 10+
Children of Zodiarcs,Teen,Teen
Deadcore,Everyone,Everyone
ACA NEOGEO FATAL FURY SPECIAL,Teen,Teen
Black the Fall,Teen,Teen
Derelict Fleet,Everyone 10+,Everyone 10+
Echoes of the Fey: The Fox's Trail,Teen,Teen
Fantastic Contraption,Everyone,Everyone
IRON CRYPTICLE,Teen,Teen
Leap of Fate,Teen,Teen
Minecraft: Story Mode - Season Two - Hero in Residence,Everyone 10+,Everyone 10+
MotoGP™17,Everyone,Everyone
Serial Cleaner,Teen,Mature
The Bellows,Teen,Teen
Transport Giant,Everyone,Everyone
Warlocks vs Shadows,Everyone 10+,Everyone 10+
YamaYama,Everyone 10+,Everyone 10+
theHunter: Call of the Wild,Teen,Teen
ACA NEOGEO PULSTAR,Everyone 10+,Everyone 10+
Accel World vs. Sword Art Online,Everyone 10+,Teen
Dead Alliance,Mature,Mature
CYBERDIMENSION NEPTUNIA: 4 GODDESSES ONLINE,Everyone 10+,Teen
Cities: Skylines,Everyone,Everyone
WARRIORS ALL-STARS™,Teen,Teen
Jak 3,Teen,Teen
Jak and Daxter,Teen,Everyone
Jak II,Everyone 10+,Teen
Jak X: Combat Racing,Everyone 10+,Teen
ACA NEOGEO 2020 SUPER BASEBALL,Everyone,Everyone
Cryptark,Teen,Teen
America's Army: Proving Grounds,Teen,Teen
Ancient Amuletor,Teen,Teen
Arizona Sunshine,Mature,Mature
Cavernous Wastes,Teen,Teen
Diablo III: Eternal Collection,Mature,Mature
Elite Dangerous: Legendary Edition,Teen,Teen
Medieval Defenders,Everyone 10+,Everyone 10+
Poi,Everyone 10+,Everyone 10+
The Tenth Line,Everyone 10+,Everyone 10+
The World of Nubla (Nubla Universe),Everyone,Everyone
Brawlhalla,Everyone 10+,Everyone 10+
Dark Arcana: The Carnival,Teen,Teen
Energy Cycle,Everyone,Everyone
SHINY,Everyone,Everyone
Baja: Edge of Control HD,Everyone,Everyone
Get Even,Mature,Mature
Grim Legends 2: Song of the Dark Swan,Teen,Teen
SUPERHOT VR,Teen,Teen
The Girl and the Robot,Everyone 10+,Everyone 10+
Air Force Special Ops: Nightfall,Everyone 10+,Everyone 10+
Blasting Agent: Ultimate Edition,Everyone 10+,Everyone 10+
Chess Ultra,Everyone,Everyone
Dead by Daylight,Mature,Mature
Everybody's Golf,Everyone 10+,Everyone
I Want To Be Human,Mature,Mature
Island Flight Simulator,Everyone,Everyone
Lili: Child of Geos,Everyone 10+,Everyone 10+
Nex Machina,Teen,Teen
Raiders of The Broken Planet,Teen,Mature
Tinertia,Everyone 10+,Everyone 10+
Elite Dangerous: Legendary Edition,Teen,Teen
A hole new world,Teen,Teen
Resident Evil Revelations,Mature,Mature
Tour de France 2017,Everyone,Everyone
Utawarerumono: Mask of Deception,Mature,Mature
ACA NEOGEO MAGICAL DROP II,Teen,Teen
Cars 3: Driven to Win,Everyone 10+,Everyone 10+
Agents of Mayhem,Mature,Mature
ELEX,Teen,Mature
Mr Shifty,Teen,Teen
Pharaonic,Teen,Teen
Hunting Simulator,Teen,Teen
Redout,Everyone,Everyone
Damascus Gear: Operation Tokyo HD Edition,Teen,Teen
ACA NEOGEO KING OF THE MONSTERS,Everyone 10+,Everyone 10+
Perception,Teen,Mature
Cladun Returns: This Is Sengoku!,Everyone 10+,Everyone 10+
DiRT 4,Everyone,Teen
Energy Balance,Everyone,Everyone
Jump Stars,Everyone,Everyone
Mega Man Legacy Collection 2,Everyone 10+,Everyone 10+
Neighborhorde,Everyone 10+,Everyone 10+
Plague Road,Teen,Teen
Randall,Teen,Teen
Skylight Freerange,Mature,Mature
Special Delivery,Everyone 10+,Teen
Yonder: The Cloud Catcher Chronicles,Everyone 10+,Everyone
ACA NEOGEO METAL SLUG 2,Teen,Teen
SpeedRunners,Everyone,Everyone
Unbox - Newbie's Adventure,Everyone,Everyone
Thea: The Awakening,Teen,Teen
Tokyo 42,Teen,Teen
Crossout,Teen,Teen
Danger Zone,Everyone 10+,Everyone 10+
Oh...Sir! The Insult Simulator,Teen,Teen
Paddle Vs. Paddle,Everyone,Everyone
Polarity: Ultimate Edition,Everyone 10+,Everyone 10+
Friday the 13th: The Game,Mature,Mature
Guilty Gear Xrd REV 2,Mature,Teen
GWENT: The Witcher card game,Teen,Teen
BUGSBOX,Everyone,Everyone
ACA NEOGEO WORLD HEROES 2,Teen,Teen
Deliriant,Teen,Mature
Embers of Mirrim,Everyone,Everyone
Pox Nora,Teen,Teen
Puzzle Showdown 4K,Everyone,Everyone
SmuggleCraft,Teen,Teen
Spellspire,Everyone 10+,Everyone 10+
Star Ocean Till the End of Time,Teen,Teen
CHROMA SQUAD,Teen,Teen
Shadow Warrior 2,Mature,Mature
Skylar & Plux: Adventure on Clover Island,Everyone,Everyone
ACA NEOGEO THE LAST BLADE,Teen,Teen
Sonic Mania,Everyone,Everyone
Black & White Bushido,Teen,Teen
Future Unfolding,Everyone,Everyone
Tango Fiesta,Teen,Mature
The Surge,Mature,Mature
White Day: A Labyrinth Named School,Teen,Teen
Danganronpa Another Episode: Ultra Despair Girls,Teen,Mature
Narcosis,Mature,Mature
Blade & Bones,Teen,Teen
BUTCHER,Mature,Mature
Human Fall Flat,Everyone,Everyone
Last Stitch Goodnight,Teen,Teen
Lethal League,Everyone 10+,Everyone 10+
LocoRoco Remastered,Everyone,Everyone
Moonshot Galaxy,Everyone,Everyone
NBA Playgrounds,Everyone,Everyone
Polybius,Everyone 10+,Everyone 10+
Revenant Saga,Everyone 10+,Everyone 10+
RiME,Everyone 10+,Everyone 10+
STRAFE,Teen,Mature
Call of Duty: Black Ops III Zombies Chronicles,Mature,Mature
Crash Bandicoot (TM) N. Sane Trilogy,Everyone 10+,Everyone 10+
Sine Mora EX,Teen,Mature
AereA,Everyone 10+,Everyone 10+
Bit Dungeon+,Teen,Teen
Save the Ninja Clan,Teen,Teen
Planetbase,Everyone 10+,Everyone 10+
ACA NEOGEO LAST RESORT,Everyone,Everyone
Farpoint,Mature,Mature
GNOG,Everyone 10+,Everyone 10+
Super Rude Bear Resurrection,Teen,Teen
TumbleSeed,Everyone,Everyone
Constructor,Teen,Teen
Wipeout: Omega Collection,Everyone 10+,Everyone 10+
The Sexy Brutale: Full House Edition,Teen,Teen
Lost Grimoires: Stolen Kingdom,Everyone 10+,Everyone 10+
River City Melee: Battle Royal Special,Everyone 10+,Everyone 10+
The Town of Light,Teen,Mature
Outlast Trinity,Mature,Mature
